Province,Total_New_Active_Cases
Jawa Barat,380287
DKI Jakarta,336996
Jawa Tengah,174856
Banten,140697
Jawa Timur,115884
Daerah Istimewa Yogyakarta,83777
Sumatera Utara,58555
Kalimantan Timur,58156
Sulawesi Selatan,52389
Bali,50706
Riau,39770
Papua,37467
Nusa Tenggara Timur,34489
Sumatera Barat,34376
Kalimantan Selatan,31131
Lampung,30665
Sumatera Selatan,29999
Kepulauan Riau,27342
Sulawesi Utara,25265
Kalimantan Tengah,22730
Sulawesi Tengah,21673
Kalimantan Utara,21504
Kalimantan Barat,21118
Aceh,17796
Kepulauan Bangka Belitung,17599
Jambi,14157
Papua Barat,13046
Nusa Tenggara Barat,12180
Bengkulu,12164
Sulawesi Tenggara,11457
Maluku,10810
Maluku Utara,7933
Gorontalo,6844
Sulawesi Barat,6724
