Date,Location_ISO_Code,Location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Active_Cases,Total_Deaths,Total_Recovered,Total_Cases,Location_Level,Longitude,Latitude
2020-03-26,ID-AC,Aceh,1,0,0,1,1,0,1,2,Province,96.91052174,4.225614628
2020-03-27,ID-AC,Aceh,3,0,0,3,4,0,1,5,Province,96.91052174,4.225614628
2020-03-28,ID-AC,Aceh,1,0,0,1,5,0,1,6,Province,96.91052174,4.225614628
2020-03-29,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-03-30,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-03-31,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-01,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-02,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-03,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-04,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-05,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-06,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-07,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-08,ID-AC,Aceh,0,0,0,0,5,0,1,6,Province,96.91052174,4.225614628
2020-04-09,ID-AC,Aceh,0,0,1,0,5,0,2,7,Province,96.91052174,4.225614628
2020-04-10,ID-AC,Aceh,0,0,0,0,5,0,2,7,Province,96.91052174,4.225614628
2020-04-11,ID-AC,Aceh,0,0,0,0,5,0,2,7,Province,96.91052174,4.225614628
2020-04-12,ID-AC,Aceh,0,0,0,0,5,0,2,7,Province,96.91052174,4.225614628
2020-04-13,ID-AC,Aceh,0,0,2,0,5,0,4,9,Province,96.91052174,4.225614628
2020-04-14,ID-AC,Aceh,0,0,0,0,5,0,4,9,Province,96.91052174,4.225614628
2020-04-15,ID-AC,Aceh,0,0,0,0,5,0,4,9,Province,96.91052174,4.225614628
2020-04-16,ID-AC,Aceh,0,0,0,0,5,0,4,9,Province,96.91052174,4.225614628
2020-04-17,ID-AC,Aceh,0,0,0,0,5,0,4,9,Province,96.91052174,4.225614628
2020-04-18,ID-AC,Aceh,1,0,0,1,6,0,4,10,Province,96.91052174,4.225614628
2020-04-19,ID-AC,Aceh,1,0,0,1,7,0,4,11,Province,96.91052174,4.225614628
2020-04-20,ID-AC,Aceh,0,0,0,0,7,0,4,11,Province,96.91052174,4.225614628
2020-04-21,ID-AC,Aceh,0,0,0,0,7,0,4,11,Province,96.91052174,4.225614628
2020-04-22,ID-AC,Aceh,0,0,0,0,7,0,4,11,Province,96.91052174,4.225614628
2020-04-23,ID-AC,Aceh,0,1,0,0,7,1,4,12,Province,96.91052174,4.225614628
2020-04-24,ID-AC,Aceh,1,0,0,1,8,1,4,13,Province,96.91052174,4.225614628
2020-04-25,ID-AC,Aceh,1,0,0,1,9,1,4,14,Province,96.91052174,4.225614628
2020-04-26,ID-AC,Aceh,0,0,0,0,9,1,4,14,Province,96.91052174,4.225614628
2020-04-27,ID-AC,Aceh,0,0,1,0,9,1,5,15,Province,96.91052174,4.225614628
2020-04-28,ID-AC,Aceh,0,0,1,0,9,1,6,16,Province,96.91052174,4.225614628
2020-04-29,ID-AC,Aceh,0,0,1,0,9,1,7,17,Province,96.91052174,4.225614628
2020-04-30,ID-AC,Aceh,1,0,0,1,10,1,7,18,Province,96.91052174,4.225614628
2020-05-01,ID-AC,Aceh,1,0,0,1,11,1,7,19,Province,96.91052174,4.225614628
2020-05-02,ID-AC,Aceh,0,0,0,0,11,1,7,19,Province,96.91052174,4.225614628
2020-05-03,ID-AC,Aceh,1,0,2,0,11,1,9,21,Province,96.91052174,4.225614628
2020-05-04,ID-AC,Aceh,0,0,0,0,11,1,9,21,Province,96.91052174,4.225614628
2020-05-05,ID-AC,Aceh,0,0,0,0,11,1,9,21,Province,96.91052174,4.225614628
2020-05-06,ID-AC,Aceh,5,0,0,5,16,1,9,26,Province,96.91052174,4.225614628
2020-05-07,ID-AC,Aceh,0,0,0,0,16,1,9,26,Province,96.91052174,4.225614628
2020-05-08,ID-AC,Aceh,0,0,3,0,16,1,12,29,Province,96.91052174,4.225614628
2020-05-09,ID-AC,Aceh,0,0,0,0,16,1,12,29,Province,96.91052174,4.225614628
2020-05-10,ID-AC,Aceh,0,0,0,0,16,1,12,29,Province,96.91052174,4.225614628
2020-05-11,ID-AC,Aceh,0,0,1,0,16,1,13,30,Province,96.91052174,4.225614628
2020-05-12,ID-AC,Aceh,0,0,0,0,16,1,13,30,Province,96.91052174,4.225614628
2020-05-13,ID-AC,Aceh,0,0,1,0,16,1,14,31,Province,96.91052174,4.225614628
2020-05-14,ID-AC,Aceh,0,0,0,0,16,1,14,31,Province,96.91052174,4.225614628
2020-05-15,ID-AC,Aceh,0,0,0,0,16,1,14,31,Province,96.91052174,4.225614628
2020-05-16,ID-AC,Aceh,1,0,2,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-17,ID-AC,Aceh,0,0,0,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-18,ID-AC,Aceh,0,0,0,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-19,ID-AC,Aceh,0,0,0,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-20,ID-AC,Aceh,0,0,0,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-21,ID-AC,Aceh,0,0,0,0,16,1,16,33,Province,96.91052174,4.225614628
2020-05-22,ID-AC,Aceh,1,0,1,0,16,1,17,34,Province,96.91052174,4.225614628
2020-05-23,ID-AC,Aceh,0,0,1,0,16,1,18,35,Province,96.91052174,4.225614628
2020-05-24,ID-AC,Aceh,0,0,0,0,16,1,18,35,Province,96.91052174,4.225614628
2020-05-25,ID-AC,Aceh,0,0,0,0,16,1,18,35,Province,96.91052174,4.225614628
2020-05-26,ID-AC,Aceh,0,0,0,0,16,1,18,35,Province,96.91052174,4.225614628
2020-05-27,ID-AC,Aceh,0,0,0,0,16,1,18,35,Province,96.91052174,4.225614628
2020-05-28,ID-AC,Aceh,1,0,0,1,17,1,18,36,Province,96.91052174,4.225614628
2020-05-29,ID-AC,Aceh,0,0,0,0,17,1,18,36,Province,96.91052174,4.225614628
2020-05-30,ID-AC,Aceh,0,0,0,0,17,1,18,36,Province,96.91052174,4.225614628
2020-05-31,ID-AC,Aceh,0,0,0,0,17,1,18,36,Province,96.91052174,4.225614628
2020-06-01,ID-AC,Aceh,0,0,0,0,17,1,18,36,Province,96.91052174,4.225614628
2020-06-02,ID-AC,Aceh,0,0,0,0,17,1,18,36,Province,96.91052174,4.225614628
2020-06-03,ID-AC,Aceh,0,0,1,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-04,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-05,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-06,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-07,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-08,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-09,ID-AC,Aceh,0,0,0,0,17,1,19,37,Province,96.91052174,4.225614628
2020-06-10,ID-AC,Aceh,2,0,0,2,19,1,19,39,Province,96.91052174,4.225614628
2020-06-11,ID-AC,Aceh,0,0,0,0,19,1,19,39,Province,96.91052174,4.225614628
2020-06-12,ID-AC,Aceh,0,0,0,0,19,1,19,39,Province,96.91052174,4.225614628
2020-06-13,ID-AC,Aceh,0,0,1,0,19,1,20,40,Province,96.91052174,4.225614628
2020-06-14,ID-AC,Aceh,5,0,0,5,24,1,20,45,Province,96.91052174,4.225614628
2020-06-15,ID-AC,Aceh,0,0,0,0,24,1,20,45,Province,96.91052174,4.225614628
2020-06-16,ID-AC,Aceh,0,0,1,0,24,1,21,46,Province,96.91052174,4.225614628
2020-06-17,ID-AC,Aceh,10,1,0,9,33,2,21,56,Province,96.91052174,4.225614628
2020-06-18,ID-AC,Aceh,1,0,0,1,34,2,21,57,Province,96.91052174,4.225614628
2020-06-19,ID-AC,Aceh,0,0,0,0,34,2,21,57,Province,96.91052174,4.225614628
2020-06-20,ID-AC,Aceh,1,0,0,1,35,2,21,58,Province,96.91052174,4.225614628
2020-06-21,ID-AC,Aceh,10,0,0,10,45,2,21,68,Province,96.91052174,4.225614628
2020-06-22,ID-AC,Aceh,0,0,0,0,45,2,21,68,Province,96.91052174,4.225614628
2020-06-23,ID-AC,Aceh,0,0,0,0,45,2,21,68,Province,96.91052174,4.225614628
2020-06-24,ID-AC,Aceh,4,0,0,4,49,2,21,72,Province,96.91052174,4.225614628
2020-06-25,ID-AC,Aceh,13,0,0,13,62,2,21,85,Province,96.91052174,4.225614628
2020-06-26,ID-AC,Aceh,3,0,0,3,65,2,21,88,Province,96.91052174,4.225614628
2020-06-27,ID-AC,Aceh,8,0,2,6,71,2,23,96,Province,96.91052174,4.225614628
2020-06-28,ID-AC,Aceh,2,0,3,0,71,2,26,99,Province,96.91052174,4.225614628
2020-06-29,ID-AC,Aceh,0,1,0,0,71,3,26,100,Province,96.91052174,4.225614628
2020-06-30,ID-AC,Aceh,1,0,1,0,71,3,27,101,Province,96.91052174,4.225614628
2020-07-01,ID-AC,Aceh,6,0,5,1,72,3,32,107,Province,96.91052174,4.225614628
2020-07-02,ID-AC,Aceh,0,0,0,0,72,3,32,107,Province,96.91052174,4.225614628
2020-07-03,ID-AC,Aceh,1,0,0,1,73,3,32,108,Province,96.91052174,4.225614628
2020-07-04,ID-AC,Aceh,0,0,0,0,73,3,32,108,Province,96.91052174,4.225614628
2020-07-05,ID-AC,Aceh,0,0,0,0,73,3,32,108,Province,96.91052174,4.225614628
2020-07-06,ID-AC,Aceh,0,0,9,0,73,3,41,117,Province,96.91052174,4.225614628
