Date,Total_Cases
2020-06-06,30533
2020-06-07,31205
2020-06-08,32052
2020-06-09,33094
2020-06-10,34335
2020-06-11,35314
2020-06-12,36425
2020-06-13,37439
2020-06-14,38296
2020-06-15,39313
2020-06-16,40419
2020-06-17,41450
2020-06-18,42781
2020-06-19,43822
2020-06-20,45048
2020-06-21,45910
2020-06-22,46864
2020-06-23,47915
2020-06-24,49028
2020-06-25,50206
2020-06-26,51446
2020-06-27,52831
2020-06-28,54029
2020-06-29,55111
2020-06-30,56404
2020-07-01,57789
2020-07-02,59413
2020-07-03,60714
2020-07-04,62161
2020-07-05,63768
2020-07-06,64977
2020-07-07,66245
2020-07-08,68098
2020-07-09,70755
2020-07-10,72366
2020-07-11,74037
2020-07-12,75718
2020-07-13,77000
2020-07-14,78591
2020-07-15,80113
2020-07-16,81687
2020-07-17,83260
2020-07-18,85012
2020-07-19,87272
2020-07-20,88965
2020-07-21,90620
2020-07-22,92548
2020-07-23,94574
2020-07-24,96444
2020-07-25,98312
2020-07-26,99804
2020-07-27,101379
2020-07-28,103808
2020-07-29,106189
2020-07-30,108426
2020-07-31,110466
2020-08-01,112540
2020-08-02,114059
2020-08-03,115738
2020-08-04,117660
2020-08-05,119563
2020-08-06,121445
2020-08-07,123918
2020-08-08,126195
2020-08-09,128088
2020-08-10,129775
2020-08-11,131468
2020-08-12,133635
2020-08-13,135733
2020-08-14,138040
2020-08-15,140385
2020-08-16,142466
2020-08-17,144287
2020-08-18,146205
2020-08-19,148625
2020-08-20,150891
2020-08-21,153290
2020-08-22,155591
2020-08-23,157979
2020-08-24,161618
2020-08-25,164065
2020-08-26,166693
2020-08-27,169979
2020-08-28,172982
2020-08-29,176290
2020-08-30,179148
2020-08-31,181891
2020-09-01,184666
2020-09-02,187741
2020-09-03,191363
2020-09-04,194632
2020-09-05,197760
2020-09-06,201204
2020-09-07,204084
2020-09-08,207130
2020-09-09,210437
2020-09-10,214298
2020-09-11,218035
2020-09-12,221841
2020-09-13,225477
2020-09-14,228990
2020-09-15,232497
2020-09-16,236460
2020-09-17,240095
2020-09-18,244297
2020-09-19,248465
2020-09-20,252454
2020-09-21,256630
2020-09-22,260701
2020-09-23,265166
2020-09-24,269800
2020-09-25,274623
2020-09-26,279117
2020-09-27,282991
2020-09-28,286934
2020-09-29,290936
2020-09-30,295585
2020-10-01,299759
2020-10-02,304076
2020-10-03,308083
2020-10-04,312075
2020-10-05,316317
2020-10-06,320373
2020-10-07,324911
2020-10-08,329761
2020-10-09,333855
2020-10-10,338149
2020-10-11,342646
2020-10-12,346229
2020-10-13,351098
2020-10-14,355782
2020-10-15,361704
2020-10-16,366005
2020-10-17,370306
2020-10-18,374411
2020-10-19,378436
2020-10-20,382963
2020-10-21,387230
2020-10-22,391662
2020-10-23,396031
2020-10-24,400278
2020-10-25,404917
2020-10-26,408937
2020-10-27,413614
2020-10-28,417643
2020-10-29,421717
2020-10-30,426315
2020-10-31,429908
2020-11-01,434123
2020-11-02,437848
2020-11-03,441881
2020-11-04,445779
2020-11-05,449844
2020-11-06,453622
2020-11-07,457884
2020-11-08,461839
2020-11-09,465882
2020-11-10,469661
2020-11-11,473431
2020-11-12,477604
2020-11-13,483048
2020-11-14,488320
2020-11-15,492426
2020-11-16,495963
2020-11-17,499770
2020-11-18,504035
2020-11-19,508833
2020-11-20,513625
2020-11-21,518623
2020-11-22,522983
2020-11-23,527425
2020-11-24,531617
2020-11-25,537151
2020-11-26,542068
2020-11-27,547896
2020-11-28,553314
2020-11-29,559581
2020-11-30,564436
2020-12-01,569528
2020-12-02,575061
2020-12-03,583430
2020-12-04,589233
2020-12-05,595260
2020-12-06,601349
2020-12-07,607103
2020-12-08,612395
2020-12-09,618453
2020-12-10,624486
2020-12-11,630796
2020-12-12,637184
2020-12-13,643373
2020-12-14,648862
2020-12-15,654982
2020-12-16,661707
2020-12-17,669061
2020-12-18,675750
2020-12-19,683501
2020-12-20,690483
2020-12-21,697331
2020-12-22,703678
2020-12-23,711192
2020-12-24,718391
2020-12-25,725650
2020-12-26,732390
2020-12-27,739616
2020-12-28,746133
2020-12-29,754036
2020-12-30,762038
2020-12-31,770112
2021-01-01,778184
2021-01-02,785992
2021-01-03,792869
2021-01-04,800212
2021-01-05,807657
2021-01-06,816511
2021-01-07,825832
2021-01-08,836449
2021-01-09,846495
2021-01-10,856135
2021-01-11,864827
2021-01-12,874874
2021-01-13,886152
2021-01-14,897709
2021-01-15,910527
2021-01-16,924751
2021-01-17,936038
2021-01-18,945808
2021-01-19,956173
2021-01-20,968741
2021-01-21,980444
2021-01-22,994076
2021-01-23,1006267
2021-01-24,1018055
2021-01-25,1029030
2021-01-26,1042124
